id,car_model,car_model_year,car_color,location_city,cost,description
e45eaacf-a8ad-47d8-8343-55c3804046b3,Ram 3500 Club,1997,Maroon,Sanli,3074.71,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
fa120383-bb28-41e8-b1a5-49556ea74d91,Previa,1992,Orange,Jetafe,1142.92,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
8ab82e70-90ce-42b9-ad16-848f15395bdb,Alero,2003,Fuscia,Gibara,2980.30,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
24f0f4ea-0666-4c10-aeff-2a235053aab4,Armada,2007,Purple,Stockholm,3853.79,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
e9b224e3-5abf-4058-9584-3c917924e56e,Excursion,2002,Goldenrod,Cincinnati,3214.36,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
ac39b72c-9c53-437f-90f1-95794513f69e,7 Series,2010,Red,Campos do Jordão,1595.79,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
0c388d62-a43c-4d79-bfc7-36b47bb89cc0,E250,2008,Puce,San Mariano,520.74,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
14496898-7582-4cd3-9631-3fea7e901f52,Alero,1999,Teal,Volksrust,2765.21,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
91c93091-45f6-4faa-ba98-5091508d6726,9-5,2000,Green,Probolinggo,1260.57,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
cd2f0159-6af7-49e2-bbe1-94c5e087b804,928,1987,Blue,Pôrto Barra do Ivinheima,2171.72,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
410b0294-9231-4d28-9105-bbe848ac1938,Neon,1997,Yellow,Ladário,138.27,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
359397f4-b0c5-48ef-baeb-147dae717136,300,2005,Blue,Kurjan,3700.68,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
46cfe5a9-2efe-44fc-b987-ead37360dca5,S-Class,2002,Indigo,La Unión,843.15,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
60b2d5aa-f1da-4cde-b896-97609b9116be,GTI,2012,Green,Jovellar,3057.36,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
56dae1cd-33da-4eaa-98c2-8cc833cc036b,Q,2004,Pink,Sobienie Jeziory,1948.80,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus."
8b9cb049-eb23-4282-9970-3c98fbbd9b52,Eldorado,1997,Mauv,Zhouji,126.28,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
00c01b81-9ca2-4e9a-996d-4da7f37d7c6b,S10,1993,Maroon,Pugeran,512.87,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
50e4e76e-33af-4c2f-acd7-d6a42ef45ea3,XC70,2005,Red,Sukasari,2136.70,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
c16fdffc-bfb2-4159-ace0-c4fb49a9446e,Elantra,2007,Khaki,Camatindi,3655.30,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
ff1f535f-e2de-4e87-8366-336035f11a3b,Passat,1987,Khaki,Manicahan,309.59,Fusce consequat. Nulla nisl. Nunc nisl.
2a385e7a-8832-4b3e-97d6-55aa212077a1,Prius,2008,Puce,La Concepcion,1094.53,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
f63d158e-9142-4133-b596-dfa10dc3d6c6,MKZ,2011,Fuscia,Xuedian,2309.10,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
8f5a14bd-f83c-493e-9472-014fa7da8774,Galant,1989,Fuscia,Jāmpur,505.25,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
5d3f5c5d-b79e-4aa4-a915-2d458982fe90,Fit,2007,Orange,Jawor,1180.52,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
1395b26c-4fb3-4f3a-b57e-626b9d34d315,164,1994,Green,Houndé,2576.40,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
b2b7afb1-a42c-416e-a686-0dbd6f8cba93,Z4 M,2006,Red,Polazna,3966.59,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
0de5d8a8-ebc7-408b-ac33-e2ae264901e2,Galant,1998,Crimson,Tambaksari,1217.22,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
a59d0a96-f21f-48e4-905a-be7d71724b93,X6,2012,Puce,Borovoy,1730.62,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
651da7ba-0c99-4993-8377-3ffd7f56847f,Accord,2000,Orange,Tianzhou,842.43,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
a90e1bba-f62a-4cf6-84c2-a6cb42d0eeb9,CR-V,1997,Green,Trnovska Vas,667.27,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
12e98f75-8886-4590-9c58-0d8c3b9face2,2500,1999,Violet,Same,1403.79,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
